\COMMENT=FITSWriter: database:WSERV1v20100706
\SYMBOL={} cross 5
\ FITSWriter: database:WSERV1v20100706
\ 22/07/10 00:15
\ SQL Query
\ select SourceID,meanMjdObs,s.ra,s.dec,jmhPnt,jmhPntErr,hmkPnt,
\ hmkPntErr,jAperMag3, JApermag3Err,hAperMag3,HAperMag3Err,kAperMag3,
\ KAperMag3Err,jppErrBits,hppErrBits,kppErrBits, MergedClass,pStar from
\ wserv1SourceXSynopticSourceBestMatch as b, wserv1SynopticMergeLog as
\ l,wserv1SynopticSource as s where b.synFrameSetID=s.synFrameSetID and
\ b.synSeqNum=s.synSeqNum and b.synFrameSetID=l.synFrameSetID and
\ JAperMag3Err < 1 and HAperMag3Err < 1 and KAperMag3Err < 1 and
\ JAperMag3 > 5 and JAperMag3 < 20 and HAperMag3 > 5 and HAperMag3 < 20
\ and KAperMag3 > 5 and KAperMag3 < 20 and s.ra < 315.1075 order by
\ meanMjdObs
|              SOURCEID|               MEANMJDOBS|                       RA|                      DEC|          JMHPNT|       JMHPNTERR|          HMKPNT|       HMKPNTERR|       JAPERMAG3|    JAPERMAG3ERR|       HAPERMAG3|    HAPERMAG3ERR|       KAPERMAG3|    KAPERMAG3ERR|  JPPERRBITS|  HPPERRBITS|  KPPERRBITS|MERGEDCLASS|           PSTAR|
|                   int|                   double|                   double|                   double|           float|           float|           float|           float|           float|           float|           float|           float|           float|           float|         int|         int|         int|        int|           float|
|                      |                         |                  RADIANS|                  RADIANS|                |                |                |                |                |                |                |                |                |                |            |            |            |           |                |
         44027710046652   5.45826251066999976e+04   5.49899217992259803e+00   9.15246322679164614e-01   1.15291595e+00   2.47206399e-03   8.21908951e-01   1.55026314e-03   1.31050177e+01   2.17567151e-03   1.19521017e+01   1.17369252e-03   1.11301928e+01   1.01279886e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45836322067000001e+04   5.49899223585835717e+00   9.15246396867299472e-01   1.08747101e+00   2.12636078e-03   7.71667480e-01   1.49037107e-03   1.27739239e+01   1.82294601e-03   1.16864529e+01   1.09465863e-03   1.09147854e+01   1.01139932e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45896047200000030e+04   5.49899236453135032e+00   9.15246457353474652e-01   1.20679474e+00   3.06180376e-03   9.39406395e-01   1.82104006e-03   1.35267649e+01   2.71813199e-03   1.23199701e+01   1.40939711e-03   1.13805637e+01   1.15316373e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45906151533000011e+04   5.49899232676238547e+00   9.15246433426613493e-01   1.25091743e+00   3.35521577e-03   9.67140198e-01   2.12953892e-03   1.36618624e+01   2.89231492e-03   1.24109449e+01   1.70058443e-03   1.14438047e+01   1.28177553e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45916295933000001e+04   5.49899224862820546e+00   9.15246429309990006e-01   1.19417000e+00   2.63819192e-03   8.92746925e-01   1.62456080e-03   1.32058954e+01   2.32178648e-03   1.20117254e+01   1.25274283e-03   1.11189785e+01   1.03432743e-03            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45936204500000022e+04   5.49899212498241585e+00   9.15246303479793188e-01   1.02048111e+00   1.93608727e-03   7.43754387e-01   1.30524673e-03   1.25754652e+01   1.68789504e-03   1.15549841e+01   9.48390341e-04   1.08112297e+01   8.96785758e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45946195999999982e+04   5.49899216670198943e+00   9.15246352577972488e-01   9.97983932e-01   1.85421715e-03   7.35946655e-01   1.21032435e-03   1.24465666e+01   1.63353188e-03   1.14485826e+01   8.77322571e-04   1.07126360e+01   8.33780621e-04            0            0            0          -1   9.99657214e-01 
         44027710046652   5.45956078567000004e+04   5.49899231429745505e+00   9.15246375062182316e-01   1.07177162e+00   2.53177504e-03   8.15423012e-01   1.47010945e-03   1.27559891e+01   2.27809860e-03   1.16842175e+01   1.10460469e-03   1.08687944e+01   9.70087713e-04            0            0            0          -1   9.99657214e-01 
